FECHA,IPC
23/01/2019,0.84464935
24/01/2019,0.842453351
25/01/2019,0.843855536
28/01/2019,0.843614348
29/01/2019,0.845044406
30/01/2019,0.843715114
31/01/2019,0.850610467
01/02/2019,0.845782474
05/02/2019,0.857362301
06/02/2019,0.84805499
07/02/2019,0.843583454
08/02/2019,0.834995704
11/02/2019,0.837020763
12/02/2019,0.833706673
13/02/2019,0.817661879
14/02/2019,0.82619275
15/02/2019,0.831288144
18/02/2019,0.831144851
19/02/2019,0.830529757
20/02/2019,0.834948342
21/02/2019,0.842676335
22/02/2019,0.845790027
25/02/2019,0.844352642
26/02/2019,0.843559811
27/02/2019,0.837523685
28/02/2019,0.828099217
01/03/2019,0.824143217
04/03/2019,0.820261394
05/03/2019,0.814661719
06/03/2019,0.810392771
07/03/2019,0.805243067
08/03/2019,0.804176793
11/03/2019,0.809774429
12/03/2019,0.807153235
13/03/2019,0.810864799
14/03/2019,0.807872343
15/03/2019,0.816238695
19/03/2019,0.819490242
20/03/2019,0.834527
21/03/2019,0.836363671
22/03/2019,0.817179654
25/03/2019,0.825770426
26/03/2019,0.82814469
27/03/2019,0.830492064
28/03/2019,0.830389183
29/03/2019,0.836945529
01/04/2019,0.844502129
02/04/2019,0.837783002
03/04/2019,0.83807616
04/04/2019,0.849632949
05/04/2019,0.869984912
08/04/2019,0.87861753
09/04/2019,0.873113107
10/04/2019,0.868424024
11/04/2019,0.862060448
12/04/2019,0.864110208
15/04/2019,0.862944603
16/04/2019,0.87036199
17/04/2019,0.880338706
22/04/2019,0.877552767
23/04/2019,0.873049127
24/04/2019,0.871057531
25/04/2019,0.870696919
26/04/2019,0.869696966
29/04/2019,0.869344286
30/04/2019,0.862394244
02/05/2019,0.856885213
03/05/2019,0.856204704
06/05/2019,0.853100303
07/05/2019,0.842791604
08/05/2019,0.839448885
09/05/2019,0.835245352
10/05/2019,0.838899961
13/05/2019,0.834261111
14/05/2019,0.839850966
15/05/2019,0.838058182
16/05/2019,0.840062846
17/05/2019,0.840123427
20/05/2019,0.841546611
21/05/2019,0.835182355
22/05/2019,0.830389183
23/05/2019,0.827881899
24/05/2019,0.824111718
27/05/2019,0.821671888
28/05/2019,0.816185518
29/05/2019,0.828697542
30/05/2019,0.838193543
31/05/2019,0.826655714
03/06/2019,0.833602886
04/06/2019,0.836182458
05/06/2019,0.83963531
06/06/2019,0.834364898
07/06/2019,0.837139809
10/06/2019,0.843286066
11/06/2019,0.845306593
12/06/2019,0.846979275
13/06/2019,0.840850088
14/06/2019,0.834032688
17/06/2019,0.830823896
18/06/2019,0.834620589
19/06/2019,0.838770794
20/06/2019,0.843981003
21/06/2019,0.841691868
24/06/2019,0.845887847
25/06/2019,0.846824802
26/06/2019,0.84682299
27/06/2019,0.837627699
28/06/2019,0.834622931
01/07/2019,0.839980663
02/07/2019,0.840049552
03/07/2019,0.840850693
04/07/2019,0.840430105
05/07/2019,0.839344116
08/07/2019,0.842897506
09/07/2019,0.82799966
10/07/2019,0.827747293
11/07/2019,0.829224863
12/07/2019,0.824686174
15/07/2019,0.832742902
16/07/2019,0.831215628
17/07/2019,0.822834244
18/07/2019,0.804784183
19/07/2019,0.804560443
22/07/2019,0.796879283
23/07/2019,0.791581225
24/07/2019,0.796075197
25/07/2019,0.791544288
26/07/2019,0.786523374
29/07/2019,0.798181684
30/07/2019,0.795911433
31/07/2019,0.790184101
01/08/2019,0.780200436
02/08/2019,0.773059513
05/08/2019,0.763755148
06/08/2019,0.769348856
07/08/2019,0.781854913
08/08/2019,0.781991483
09/08/2019,0.781640691
12/08/2019,0.770617039
13/08/2019,0.76337112
14/08/2019,0.747390533
15/08/2019,0.745922632
16/08/2019,0.760722885
19/08/2019,0.764914634
20/08/2019,0.767694001
21/08/2019,0.77496462
22/08/2019,0.776283413
23/08/2019,0.770827031
26/08/2019,0.775074451
27/08/2019,0.786043566
28/08/2019,0.79170926
29/08/2019,0.808906741
30/08/2019,0.824206441
02/09/2019,0.814261829
03/09/2019,0.808814888
04/09/2019,0.818443305
05/09/2019,0.826313835
06/09/2019,0.825853214
09/09/2019,0.824979331
10/09/2019,0.823541266
11/09/2019,0.826655941
12/09/2019,0.825132897
13/09/2019,0.828440567
17/09/2019,0.840187633
18/09/2019,0.83286648
19/09/2019,0.831843941
20/09/2019,0.842324562
23/09/2019,0.841328688
24/09/2019,0.833427036
25/09/2019,0.831778527
26/09/2019,0.831211398
27/09/2019,0.828752231
30/09/2019,0.831724216
01/10/2019,0.830291137
02/10/2019,0.816479204
03/10/2019,0.820741353
04/10/2019,0.839568006
07/10/2019,0.83058369
08/10/2019,0.822517142
09/10/2019,0.821874779
10/10/2019,0.83014807
11/10/2019,0.83565612
14/10/2019,0.837298435
15/10/2019,0.836236769
16/10/2019,0.841919232
17/10/2019,0.840787846
18/10/2019,0.834960504
21/10/2019,0.839346231
22/10/2019,0.838536177
23/10/2019,0.84207378
24/10/2019,0.846523714
25/10/2019,0.839031621
28/10/2019,0.846308812
29/10/2019,0.847963516
30/10/2019,0.845847284
31/10/2019,0.838028421
